altitude,xpos,zpos
8.99999982454,1.63695689584,1.04811643313
8.99999982454,1.63692206677,1.04811986566
8.99999982454,1.6368872506,1.04812329693
8.99999982454,1.63685244731,1.04812672692
8.99999982454,1.63681765691,1.04813015565
8.99999982454,1.63678287938,1.0481335831
8.99999982454,1.63674811471,1.04813700929
8.99999982454,1.63671336291,1.04814043421
8.99999982454,1.63667862395,1.04814385786
8.99999982454,1.63664389784,1.04814728025
8.99999982454,1.63660918456,1.04815070137
8.99999982454,1.63657448411,1.04815412123
8.99999982454,1.63653979648,1.04815753982
8.99999982454,1.63650512166,1.04816095715
8.99999982454,1.63647045965,1.04816437322
8.99999982454,1.63643581043,1.04816778803
8.99999982454,1.63640117399,1.04817120158
8.99999982454,1.63636655034,1.04817461386
8.99999982454,1.63633193946,1.04817802489
8.99999982454,1.63629734135,1.04818143466
8.99999982454,1.63626275599,1.04818484317
8.99999982454,1.63622818339,1.04818825043
8.99999982454,1.63619362352,1.04819165643
8.99999982454,1.63615907639,1.04819506117
8.99999982454,1.63612454199,1.04819846466
8.99999982454,1.6360900203,1.0482018669
8.99999982454,1.63605551133,1.04820526788
8.99999982454,1.63602101506,1.04820866761
8.99999982454,1.63598653148,1.04821206609
8.99999982454,1.63595206059,1.04821546332
8.99999982454,1.63591760238,1.04821885929
8.99999982454,1.63588315685,1.04822225402
8.99999982454,1.63584872398,1.0482256475
8.99999982454,1.63581430377,1.04822903974
8.99999982454,1.63577989621,1.04823243072
8.99999982454,1.63574550129,1.04823582046
8.99999982454,1.635711119,1.04823920896
8.99999982454,1.63567674934,1.04824259621
8.99999982454,1.6356423923,1.04824598221
8.99999982454,1.63560804788,1.04824936698
8.99999982454,1.63557371605,1.0482527505
8.99999982454,1.63553939683,1.04825613277
8.99999982454,1.63550509019,1.04825951381
8.99999982454,1.63547079613,1.04826289361
8.99999982454,1.63543651465,1.04826627217
8.99999982454,1.63540224573,1.04826964949
8.99999982454,1.63536798938,1.04827302557
8.99999982454,1.63533374557,1.04827640041
8.99999982454,1.63529951431,1.04827977402
8.99999982454,1.63526529558,1.04828314639
8.99999982454,1.63523108938,1.04828651753
8.99999982454,1.63519689571,1.04828988743
8.99999982454,1.63516271454,1.0482932561
8.99999982454,1.63512854588,1.04829662353
8.99999982454,1.63509438973,1.04829998974
8.99999982454,1.63506024606,1.04830335471
8.99999982454,1.63502611488,1.04830671845
8.99999982454,1.63499199617,1.04831008097
8.99999982454,1.63495788993,1.04831344225
8.99999982454,1.63492379615,1.0483168023
8.99999982454,1.63488971483,1.04832016113
8.99999982454,1.63485564595,1.04832351873
8.99999982454,1.63482158951,1.04832687511
8.99999982454,1.6347875455,1.04833023025
8.99999982454,1.63475351392,1.04833358418
8.99999982454,1.63471949475,1.04833693688
8.99999982454,1.63468548799,1.04834028836
8.99999982454,1.63465149364,1.04834363861
8.99999982454,1.63461751168,1.04834698764
8.99999982454,1.6345835421,1.04835033545
8.99999982454,1.6345495849,1.04835368205
8.99999982454,1.63451564008,1.04835702742
8.99999982454,1.63448170762,1.04836037157
8.99999982454,1.63444778752,1.0483637145
8.99999982454,1.63441387977,1.04836705622
8.99999982454,1.63437998436,1.04837039672
8.99999982454,1.63434610129,1.04837373601
8.99999982454,1.63431223054,1.04837707408
8.99999982454,1.63427837212,1.04838041093
8.99999982454,1.63424452601,1.04838374657
8.99999982454,1.6342106922,1.048387081
8.99999982454,1.63417687069,1.04839041422
